"Site crawlé","https://nina-carducci.github.io/"
"Date de début","2025-12-31"
"Heure de début","09:33:34"
"Date de la dernière modification","2025-12-31"
"Heure de la dernière modification","09:33:38"
"Temps écoulé","00:00:03"
"Date du rapport","2025-12-31"
"Heure du rapport","09:38:50"
""
"Résumé","URL","% du total","Total des URL","Total des descriptions d'URL"
"Texte illisible car trop petit","0","0,00%","1",""
"Contient des plug-ins non pris en charge","0","0,00%","1",""
"Lien alternate mobile","0","0,00%","1",""
""
"Accessibilité"
"Tous","1","100,00%","1",""
"Score d'accessibilité : Mauvais","0","0,00%","1",""
"Score d'accessibilité : À améliorer","0","0,00%","1",""
"Score d'accessibilité : Bon","0","0,00%","1",""
"Violation des règles WCAG 2.0 A","0","0,00%","1",""
"Violation des règles WCAG 2.0 AA","0","0,00%","1",""
"Violation des règles WCAG 2.0 AAA","0","0,00%","1",""
"Violation des règles WCAG 2.1 AA","0","0,00%","1",""
"Violation des règles WCAG 2.2 AA","0","0,00%","1",""
"Violation des bonnes pratiques","0","0,00%","1",""
"La valeur de l'attribut accesskey doit être unique","0","0,00%","1",""
"Assurez-vous que les éléments ayant le rôle presentation sont ignorés","0","0,00%","1",""
"Les éléments ne doivent pas avoir un tabindex supérieur à zéro","0","0,00%","1",""
"La région défilable doit être accessible via le clavier","0","0,00%","1",""
"La cible des balises de saut doit exister et pouvoir recevoir le focus","0","0,00%","1",""
"Les attributs ARIA obligatoires doivent être spécifiés","0","0,00%","1",""
"Role=text ne doit pas avoir de descendants pouvant recevoir le focus","0","0,00%","1",""
"L'attribut ARIA doit être utilisé conformément aux spécifications du rôle","0","0,00%","1",""
"Les attributs ARIA nécessitent des valeurs valides","0","0,00%","1",""
"Les attributs ARIA nécessitent des noms valides","0","0,00%","1",""
"Les commandes ARIA nécessitent un nom accessible","0","0,00%","1",""
"Les éléments ARIA dialog et alertdialog nécessitent un nom accessible","0","0,00%","1",""
"Les champs de saisie ARIA nécessitent un nom accessible","0","0,00%","1",""
"Les éléments ARIA meter nécessitent un nom accessible","0","0,00%","1",""
"Les éléments ARIA progressbar nécessitent un nom accessible","0","0,00%","1",""
"Le rôle ARIA doit être adapté à l'élément","0","0,00%","1",""
"Les rôles ARIA doivent être contenus dans le parent requis","0","0,00%","1",""
"Les rôles ARIA nécessitent des valeurs valides","0","0,00%","1",""
"Les champs à bascule ARIA nécessitent un nom accessible","0","0,00%","1",""
"Les éléments ARIA tooltip nécessitent un nom accessible","0","0,00%","1",""
"Les éléments ARIA treeitem nécessitent un nom accessible","0","0,00%","1",""
"Certains rôles ARIA doivent contenir un enfant spécifique","0","0,00%","1",""
"Les rôles ARIA obsolètes ne doivent pas être utilisés","0","0,00%","1",""
"Les attributs aria-braille doivent avoir un équivalent non braille","0","0,00%","1",""
"Des éléments aria-hidden contiennent des éléments pouvant recevoir le focus","0","0,00%","1",""
"aria-hidden=true ne doit pas être utilisé dans <body>","0","0,00%","1",""
"Les éléments doivent uniquement utiliser des attributs ARIA autorisés","0","0,00%","1",""
"Les éléments doivent utiliser des attributs ARIA autorisés","0","0,00%","1",""
"Les ID utilisés dans les attributs ARIA et les labels doivent être uniques","0","0,00%","1",""
"Une page doit avoir un moyen de contourner les blocs répétés","0","0,00%","1",""
"L'ensemble du contenu de la page doit être contenu dans des landmarks","0","0,00%","1",""
"Une page nécessite un landmark main","0","0,00%","1",""
"Une page ne doit pas comporter plusieurs landmarks banner","0","0,00%","1",""
"Un landmark banner ne doit pas se trouver dans un autre landmark","0","0,00%","1",""
"Une page ne doit pas comporter plusieurs landmarks contentinfo","0","0,00%","1",""
"Une page ne doit pas comporter plus d'un landmark main","0","0,00%","1",""
"Les landmarks de type complementary et les asides doivent être de premier niveau","0","0,00%","1",""
"Le landmark contentinfo doit être un landmark de premier niveau","0","0,00%","1",""
"Un landmark main ne doit pas se trouver dans un autre landmark","0","0,00%","1",""
"Les landmarks nécessitent un rôle unique ou un nom accessible","0","0,00%","1",""
"Les champs de formulaire ne doivent pas comporter plusieurs éléments label","0","0,00%","1",""
"Les éléments de formulaire <input> nécessitent des labels","0","0,00%","1",""
"Les éléments de formulaire doivent avoir un label visible","0","0,00%","1",""
"L'attribut autocomplete doit être utilisé correctement","0","0,00%","1",""
"Les frames nécessitent un attribut title","0","0,00%","1",""
